Sepal Length,Sepal Width,Petal Length,Petal Width,Species
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3,1.4,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
5,3.6,1.4,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.4,3.5,1.5,0.2,Iris-versicolor
4.8,3.4,1.6,0.2,Iris-versicolor
4.9,3.1,1.5,0.1,Iris-versicolor
5,3.6,1.4,0.2,Iris-versicolor
5.5,2.5,4,1.3,Iris-virginica
6,2.2,4,1,Iris-virginica
6.1,2.9,4.7,1.4,Iris-virginica
5.8,2.7,4.1,1,Iris-virginica
6.4,2.9,4.3,1.3,Iris-virginica
6.5,3,5.2,2,Iris-virginica
